,,SerialNumber,Year,Hours,Price,Filtered Price,Demand,Hydropower,Wind,Photovoltaics,Import,Export,Coal Price in USD,Coal Price,Neutral Gas Price Index,NetConnect Germany Gas Market,CO2 Certificates,Currency US-EU,Availability Nuclear,Availability Lignites,Availabilitiy Gas,Availability Coal,Availability
1-Jan-17,12:00 AM,1,2017,145,20.96,20.96,45192.75,1306,15163.75,0,2147,10324,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,1:00 AM,2,2017,146,20.9,20.9,44241.75,1139.75,15429.5,0,2118,10738,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,2:00 AM,3,2017,147,18.13,18.13,42955.75,1139,15342,0,2143,11026,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,3:00 AM,4,2017,148,16.03,16.03,41614,1134.75,14946.25,0,2032,11294,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,4:00 AM,5,2017,149,16.43,16.43,40381.75,1122.25,14754,0,2029,11049,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,5:00 AM,6,2017,150,13.75,13.75,39474.5,1122,14921.25,0,1685,11133,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,6:00 AM,7,2017,151,11.1,11.1,38035,1118.75,15467.75,0,1296,11347,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,7:00 AM,8,2017,152,15.47,15.47,37634.5,1122.75,15954.5,0,1331,12175,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,8:00 AM,9,2017,153,16.88,16.88,38149.75,1106.25,15822.5,5.75,1332,12144,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,9:00 AM,10,2017,154,21.81,21.81,39205,1093.75,15825.75,569.5,1725,12561,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,10:00 AM,11,2017,155,26.24,26.24,42622.25,1097,15564.75,2718.25,1896,12331,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,11:00 AM,12,2017,156,26.42,26.42,45379.25,1096.25,14061.5,5282.5,1923,12114,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,12:00 PM,13,2017,157,27.66,27.66,47666.75,1090.5,13180.75,7246.25,1949,11626,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,1:00 PM,14,2017,158,28.7,28.7,43129.25,974,11820.25,7877,1916,10897,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,2:00 PM,15,2017,159,29.66,29.66,40793,937.5,10764.75,6622.25,1854,9977,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,3:00 PM,16,2017,160,35.33,35.33,41201.25,942.5,9532.75,3867.25,1899,8705,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,4:00 PM,17,2017,161,44.12,44.12,42134,949,8957.75,1066.5,2317,6106,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,5:00 PM,18,2017,162,51.59,51.59,44836.75,956.5,9319.5,36,2482,6774,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,6:00 PM,19,2017,163,53.95,53.95,48057.75,985.5,9817.25,0.25,2589,6562,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,7:00 PM,20,2017,164,50.97,50.97,48172.25,999.75,9853.25,0,2615,7160,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,8:00 PM,21,2017,165,44.93,44.93,46614.25,1010,10522.25,0,2633,8327,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,9:00 PM,22,2017,166,38.83,38.83,43986.75,1010.5,11166,0,2557,8743,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,10:00 PM,23,2017,167,42.17,42.17,42543.25,993.5,11710,0,2590,8580,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
1-Jan-17,11:00 PM,24,2017,168,33.06,33.06,42137.25,990.25,12409,0,2593,8945,92.32,87.92380952,19.45,19.52,6.4,1.05,6417.6,17330.5,7919.4,12420.5,44088
2-Jan-17,12:00 AM,25,2017,1,30.54,30.54,39803.75,1003.25,12237.75,0,2228,6889,92.32,87.92380952,19.55,19.9,6.25,1.05,6396.7,16980,7989,13933.6,45299.3
2-Jan-17,1:00 AM,26,2017,2,28.91,28.91,37367.75,1018,12512.25,0,1945,7819,92.32,87.92380952,19.55,19.9,6.25,1.05,6396.7,16980,7989,13933.6,45299.3
2-Jan-17,2:00 AM,27,2017,3,28.11,28.11,35894,1017.75,12911.25,0,1775,8357,92.32,87.92380952,19.55,19.9,6.25,1.05,6396.7,16980,7989,13933.6,45299.3
2-Jan-17,3:00 AM,28,2017,4,27.89,27.89,35692.75,1004.5,12758.75,0,1685,8184,92.32,87.92380952,19.55,19.9,6.25,1.05,6396.7,16980,7989,13933.6,45299.3
2-Jan-17,4:00 AM,29,2017,5,27.73,27.73,36030.75,1020,12519.5,0,2106,8908,92.32,87.92380952,19.55,19.9,6.25,1.05,6396.7,16980,7989,13933.6,45299.3
2-Jan-17,5:00 AM,30,2017,6,31.18,31.18,37597.25,988,11878.5,0,2095,8647,92.32,87.92380952,19.55,19.9,6.25,1.05,6396.7,16980,7989,13933.6,45299.3
2-Jan-17,6:00 AM,31,2017,7,37.99,37.99,41016.25,1007.25,11938.75,0,2138,7456,92.32,87.92380952,19.55,19.9,6.25,1.05,6396.7,16980,7989,13933.6,45299.3
