Hour,Price,Demand,Wind,Photovoltaics,Coal Price,CO2 Certificates,Availability
1,,58404,7766.84,0,73.15571969,23.55,48172.3
2,,56714,7903.43,0,73.15571969,23.55,48172.3
3,,55931,8523.59,0,73.15571969,23.55,48172.3
4,,56090,9041.34,0,73.15571969,23.55,48172.3
5,,57606,9322.66,0,73.15571969,23.55,48172.3
6,,61960,9455.64,0,73.15571969,23.55,48172.3
7,,71676,9466.63,0,73.15571969,23.55,48172.3
8,,79661,9553.68,0,73.15571969,23.55,48172.3
9,,81748,9671.45,776,73.15571969,23.55,48172.3
10,,81625,9602.88,3643.5,73.15571969,23.55,48172.3
11,,81976,9538.34,6415.5,73.15571969,23.55,48172.3
12,,82124,9785.15,8207,73.15571969,23.55,48172.3
13,,81344,10353.34,8705.5,73.15571969,23.55,48172.3
14,,80876,11089.21,7860,73.15571969,23.55,48172.3
15,,79954,11002.85,5851.5,73.15571969,23.55,48172.3
16,,79492,11113.26,3140.5,73.15571969,23.55,48172.3
17,,79977,11379.25,645.5,73.15571969,23.55,48172.3
18,,84058,11616.3,0,73.15571969,23.55,48172.3
19,,84344,11848.87,0,73.15571969,23.55,48172.3
20,,81968,12024.49,0,73.15571969,23.55,48172.3
21,,77851,12133.24,0,73.15571969,23.55,48172.3
22,,74270,11989.39,0,73.15571969,23.55,48172.3
23,,71282,11798.43,0,73.15571969,23.55,48172.3
24,,67002,11508.91,0,73.15571969,23.55,48172.3
25,,63790,11383.27,0,73.15571969,23.55,48247
26,,61700,11555.26,0,73.15571969,23.55,48247
27,,60579,12307.74,0,73.15571969,23.55,48247
28,,60582,12838.86,0,73.15571969,23.55,48247
29,,61661,13052.82,0,73.15571969,23.55,48247
30,,65257,13085.49,0,73.15571969,23.55,48247
31,,73902,12989.42,0,73.15571969,23.55,48247
32,,81300,13034.49,0,73.15571969,23.55,48247
33,,83036,13440.57,821.5,73.15571969,23.55,48247
34,,82662,13571.99,3773.5,73.15571969,23.55,48247
35,,82923,13658.33,6606.5,73.15571969,23.55,48247
36,,83027,14033.18,8439,73.15571969,23.55,48247
37,,82203,14708.35,8952,73.15571969,23.55,48247
38,,81649,15640.94,8093.5,73.15571969,23.55,48247
39,,80707,15967.61,6046.5,73.15571969,23.55,48247
40,,80269,16530.47,3277.5,73.15571969,23.55,48247
41,,80647,17261.01,708.5,73.15571969,23.55,48247
42,,84550,17919.68,0,73.15571969,23.55,48247
43,,84852,18529.38,0,73.15571969,23.55,48247
44,,82414,18993.97,0,73.15571969,23.55,48247
45,,78334,19232.08,0,73.15571969,23.55,48247
46,,74799,19095.19,0,73.15571969,23.55,48247
47,,71888,18839.49,0,73.15571969,23.55,48247
48,,67714,18428.51,0,73.15571969,23.55,48247
49,,64131,18153.73,0,73.15571969,23.55,48229
50,,62050,18188.74,0,73.15571969,23.55,48229
51,,60916,18769.27,0,73.15571969,23.55,48229
52,,60883,19141.16,0,73.15571969,23.55,48229
53,,61926,19220.56,0,73.15571969,23.55,48229
54,,65488,19087.01,0,73.15571969,23.55,48229
55,,74118,18725.49,0,73.15571969,23.55,48229
56,,81455,18441.12,0,73.15571969,23.55,48229
57,,83262,18536.09,819.5,73.15571969,23.55,48229
58,,82908,18223.11,3631,73.15571969,23.55,48229
59,,83176,17832.03,6297,73.15571969,23.55,48229
60,,83274,17745.75,8021.5,73.15571969,23.55,48229
61,,82436,17943.03,8506,73.15571969,23.55,48229
62,,81868,18343.85,7701,73.15571969,23.55,48229
63,,80942,18381.1,5777,73.15571969,23.55,48229
64,,80506,18695.46,3163,73.15571969,23.55,48229
65,,80750,19188.18,713,73.15571969,23.55,48229
66,,84554,19606.8,0,73.15571969,23.55,48229
67,,84932,19950.93,0,73.15571969,23.55,48229
68,,82493,20118.68,0,73.15571969,23.55,48229
69,,78398,20126.24,0,73.15571969,23.55,48229
70,,74844,19773.7,0,73.15571969,23.55,48229
71,,71909,19306.14,0,73.15571969,23.55,48229
72,,67715,18715.9,0,73.15571969,23.55,48229
73,,64111,18247.51,0,73.15571969,23.55,48251
74,,62030,18053.76,0,73.15571969,23.55,48251
75,,60905,18443.86,0,73.15571969,23.55,48251
76,,60885,18677.52,0,73.15571969,23.55,48251
77,,61946,18681.51,0,73.15571969,23.55,48251
78,,65523,18517.76,0,73.15571969,23.55,48251
79,,74185,18155.6,0,73.15571969,23.55,48251
80,,81480,17827.59,2.5,73.15571969,23.55,48251
81,,83336,17983.63,855,73.15571969,23.55,48251
82,,83001,17759.41,3696.5,73.15571969,23.55,48251
83,,83292,17446.4,6372,73.15571969,23.55,48251
84,,83405,17380.4,8103,73.15571969,23.55,48251
85,,82571,17572.06,8593,73.15571969,23.55,48251
86,,82007,18017.42,7793.5,73.15571969,23.55,48251
87,,81087,18019.7,5870.5,73.15571969,23.55,48251
88,,80642,18293.85,3250,73.15571969,23.55,48251
89,,80814,18739.54,771,73.15571969,23.55,48251
90,,84574,19111.33,1,73.15571969,23.55,48251
91,,85046,19428.8,0,73.15571969,23.55,48251
92,,82614,19577.33,0,73.15571969,23.55,48251
93,,78515,19423.46,0,73.15571969,23.55,48251
