Date;Year;Month;Area;Area.Type;Variable;Variable.Type;Generation (GWh);YoY change (%);YoY change (GWh);Cumul. Generation (GWh);Cumul. YoY change (%);Cumul. YoY change (GWh);Demand Flag
janv-18;2018;1;Austria;EU Country;Demand;Demand;5971;;;5971;;;
janv-18;2018;1;Austria;EU Country;Production;Production;5219;;;5219;;;
janv-18;2018;1;Austria;EU Country;Net imports;Net imports;594;;;594;;;
janv-18;2018;1;Austria;EU Country;Statistical difference;Statistical difference;158;;;158;;;
janv-18;2018;1;Austria;EU Country;Gas;Fossil;1144;;;1144;;;
janv-18;2018;1;Austria;EU Country;Hard Coal;Fossil;216;;;216;;;
janv-18;2018;1;Austria;EU Country;Other fossil;Fossil;16;;;16;;;
janv-18;2018;1;Austria;EU Country;Bioenergy;Renewables;237;;;237;;;
janv-18;2018;1;Austria;EU Country;Hydro;Renewables;2897;;;2897;;;
janv-18;2018;1;Austria;EU Country;Other renewables;Renewables;0;;;0;;;
janv-18;2018;1;Austria;EU Country;Solar;Renewables;34;;;34;;;
janv-18;2018;1;Austria;EU Country;Wind;Renewables;600;;;600;;;
janv-18;2018;1;Austria;EU Country;Waste;Waste;74;;;74;;;
janv-18;2018;1;Belgium;EU Country;Demand;Demand;8013;;;8013;;;
janv-18;2018;1;Belgium;EU Country;Production;Production;6990;;;6990;;;
janv-18;2018;1;Belgium;EU Country;Net imports;Net imports;1009;;;1009;;;
janv-18;2018;1;Belgium;EU Country;Statistical difference;Statistical difference;14;;;14;;;
janv-18;2018;1;Belgium;EU Country;Gas;Fossil;1514;;;1514;;;
janv-18;2018;1;Belgium;EU Country;Hard Coal;Fossil;0;;;0;;;
janv-18;2018;1;Belgium;EU Country;Other fossil;Fossil;510;;;510;;;
janv-18;2018;1;Belgium;EU Country;Bioenergy;Renewables;254;;;254;;;
janv-18;2018;1;Belgium;EU Country;Hydro;Renewables;21;;;21;;;
janv-18;2018;1;Belgium;EU Country;Solar;Renewables;54;;;54;;;
janv-18;2018;1;Belgium;EU Country;Wind;Renewables;781;;;781;;;
janv-18;2018;1;Belgium;EU Country;Nuclear;Nuclear;3675;;;3675;;;
janv-18;2018;1;Belgium;EU Country;Waste;Waste;180;;;180;;;
janv-18;2018;1;Bulgaria;EU Country;Demand;Demand;3894;;;3894;;;
janv-18;2018;1;Bulgaria;EU Country;Production;Production;4072;;;4072;;;
janv-18;2018;1;Bulgaria;EU Country;Net imports;Net imports;-145;;;-145;;;
janv-18;2018;1;Bulgaria;EU Country;Statistical difference;Statistical difference;-33;;;-33;;;
janv-18;2018;1;Bulgaria;EU Country;Gas;Fossil;226;;;226;;;
janv-18;2018;1;Bulgaria;EU Country;Hard Coal;Fossil;62;;;62;;;
janv-18;2018;1;Bulgaria;EU Country;Lignite;Fossil;1804;;;1804;;;
janv-18;2018;1;Bulgaria;EU Country;Bioenergy;Renewables;25;;;25;;;
janv-18;2018;1;Bulgaria;EU Country;Hydro;Renewables;219;;;219;;;
janv-18;2018;1;Bulgaria;EU Country;Solar;Renewables;64;;;64;;;
janv-18;2018;1;Bulgaria;EU Country;Wind;Renewables;103;;;103;;;
janv-18;2018;1;Bulgaria;EU Country;Nuclear;Nuclear;1567;;;1567;;;
