Date;Day-ahead
16/01/2012;21.69
17/01/2012;21.19
18/01/2012;21.25
19/01/2012;20.88
20/01/2012;21.6
23/01/2012;21.98
24/01/2012;22.02
25/01/2012;22.05
26/01/2012;21.74
27/01/2012;22.81
30/01/2012;24.05
31/01/2012;24.05
01/02/2012;25.67
02/02/2012;26.6
03/02/2012;30.04
06/02/2012;35.5
07/02/2012;37.69
08/02/2012;26.5
09/02/2012;29.78
10/02/2012;28.48
13/02/2012;23.28
14/02/2012;23.35
15/02/2012;23.5
16/02/2012;23.79
17/02/2012;23.5
20/02/2012;23.18
21/02/2012;23.55
22/02/2012;24.06
23/02/2012;23.75
24/02/2012;23.8
27/02/2012;24.58
28/02/2012;23.44
29/02/2012;23.9
01/03/2012;23.25
02/03/2012;23.9
05/03/2012;23.92
06/03/2012;23.52
07/03/2012;23.67
08/03/2012;24.2
09/03/2012;24.28
12/03/2012;22.85
13/03/2012;24.2
14/03/2012;24.54
15/03/2012;23.9
16/03/2012;24.56
19/03/2012;24.95
20/03/2012;24.85
21/03/2012;24.49
22/03/2012;23.49
23/03/2012;21.41
26/03/2012;22.55
27/03/2012;23.21
28/03/2012;23.25
29/03/2012;23.56
30/03/2012;25.1
02/04/2012;25.28
03/04/2012;24.42
04/04/2012;24.7
05/04/2012;24.64
10/04/2012;24.46
11/04/2012;24.95
12/04/2012;25.12
13/04/2012;25.45
16/04/2012;25.2
17/04/2012;25.02
18/04/2012;24.55
19/04/2012;24.99
20/04/2012;24.8
23/04/2012;24.95
24/04/2012;24.25
25/04/2012;24.32
26/04/2012;24.4
27/04/2012;24.48
30/04/2012;25.15
01/05/2012;25.7
02/05/2012;25.15
03/05/2012;25.15
04/05/2012;25
08/05/2012;24.6
09/05/2012;24.8
10/05/2012;24.64
11/05/2012;25.02
14/05/2012;25.15
15/05/2012;24.67
16/05/2012;24.68
17/05/2012;24.55
18/05/2012;23.67
21/05/2012;23.26
22/05/2012;22.9
23/05/2012;23.05
24/05/2012;23.35
25/05/2012;22.9
