"Time (CET),""Day-ahead Total Load Forecast [MW] - BZN|ES"",""Actual Total Load [MW] - BZN|ES"""
"01.03.2021 00:00 - 01.03.2021 01:00,""23930"",""23841"""
"01.03.2021 01:00 - 01.03.2021 02:00,""22409"",""22254"""
"01.03.2021 02:00 - 01.03.2021 03:00,""21553"",""21433"""
"01.03.2021 03:00 - 01.03.2021 04:00,""21213"",""21055"""
"01.03.2021 04:00 - 01.03.2021 05:00,""21274"",""20964"""
"01.03.2021 05:00 - 01.03.2021 06:00,""22113"",""21980"""
"01.03.2021 06:00 - 01.03.2021 07:00,""24909"",""24818"""
"01.03.2021 07:00 - 01.03.2021 08:00,""28296"",""28387"""
"01.03.2021 08:00 - 01.03.2021 09:00,""30353"",""30723"""
"01.03.2021 09:00 - 01.03.2021 10:00,""32106"",""32502"""
"01.03.2021 10:00 - 01.03.2021 11:00,""32656"",""33458"""
"01.03.2021 11:00 - 01.03.2021 12:00,""32617"",""33693"""
"01.03.2021 12:00 - 01.03.2021 13:00,""32270"",""33842"""
"01.03.2021 13:00 - 01.03.2021 14:00,""32489"",""33790"""
"01.03.2021 14:00 - 01.03.2021 15:00,""31346"",""32850"""
"01.03.2021 15:00 - 01.03.2021 16:00,""30334"",""31868"""
"01.03.2021 16:00 - 01.03.2021 17:00,""29741"",""31034"""
"01.03.2021 17:00 - 01.03.2021 18:00,""29310"",""30776"""
"01.03.2021 18:00 - 01.03.2021 19:00,""29352"",""31119"""
"01.03.2021 19:00 - 01.03.2021 20:00,""31777"",""33476"""
"01.03.2021 20:00 - 01.03.2021 21:00,""33227"",""34466"""
"01.03.2021 21:00 - 01.03.2021 22:00,""32723"",""33073"""
"01.03.2021 22:00 - 01.03.2021 23:00,""30311"",""30516"""
"01.03.2021 23:00 - 02.03.2021 00:00,""27456"",""27718"""
"02.03.2021 00:00 - 02.03.2021 01:00,""25671"",""25543"""
"02.03.2021 01:00 - 02.03.2021 02:00,""24107"",""23991"""
"02.03.2021 02:00 - 02.03.2021 03:00,""23190"",""23069"""
"02.03.2021 03:00 - 02.03.2021 04:00,""22855"",""22731"""
"02.03.2021 04:00 - 02.03.2021 05:00,""22808"",""22590"""
"02.03.2021 05:00 - 02.03.2021 06:00,""23535"",""23263"""
"02.03.2021 06:00 - 02.03.2021 07:00,""26145"",""26017"""
"02.03.2021 07:00 - 02.03.2021 08:00,""29787"",""29834"""
"02.03.2021 08:00 - 02.03.2021 09:00,""32110"",""32368"""
"02.03.2021 09:00 - 02.03.2021 10:00,""33632"",""33740"""
"02.03.2021 10:00 - 02.03.2021 11:00,""33984"",""34134"""
"02.03.2021 11:00 - 02.03.2021 12:00,""34055"",""34105"""
"02.03.2021 12:00 - 02.03.2021 13:00,""33972"",""34032"""
"02.03.2021 13:00 - 02.03.2021 14:00,""33932"",""33765"""
"02.03.2021 14:00 - 02.03.2021 15:00,""32865"",""32945"""
"02.03.2021 15:00 - 02.03.2021 16:00,""31742"",""31947"""
"02.03.2021 16:00 - 02.03.2021 17:00,""31142"",""31261"""
"02.03.2021 17:00 - 02.03.2021 18:00,""30763"",""31017"""
"02.03.2021 18:00 - 02.03.2021 19:00,""30887"",""31375"""
"02.03.2021 19:00 - 02.03.2021 20:00,""33531"",""33566"""
"02.03.2021 20:00 - 02.03.2021 21:00,""34595"",""34782"""
"02.03.2021 21:00 - 02.03.2021 22:00,""33507"",""33621"""
"02.03.2021 22:00 - 02.03.2021 23:00,""30733"",""30891"""
"02.03.2021 23:00 - 03.03.2021 00:00,""27764"",""27959"""
"03.03.2021 00:00 - 03.03.2021 01:00,""25853"",""26073"""
"03.03.2021 01:00 - 03.03.2021 02:00,""24168"",""24440"""
"03.03.2021 02:00 - 03.03.2021 03:00,""23335"",""23581"""
"03.03.2021 03:00 - 03.03.2021 04:00,""22971"",""23224"""
"03.03.2021 04:00 - 03.03.2021 05:00,""22891"",""23022"""
"03.03.2021 05:00 - 03.03.2021 06:00,""23610"",""23671"""
"03.03.2021 06:00 - 03.03.2021 07:00,""26108"",""26381"""
"03.03.2021 07:00 - 03.03.2021 08:00,""29833"",""30079"""
"03.03.2021 08:00 - 03.03.2021 09:00,""32181"",""32195"""
"03.03.2021 09:00 - 03.03.2021 10:00,""33518"",""33331"""
"03.03.2021 10:00 - 03.03.2021 11:00,""33732"",""33825"""
