Time (CET);Imports;Exports
01.03.2021 00:00 - 01.03.2021 01:00;0;2476
01.03.2021 01:00 - 01.03.2021 02:00;0;3647
01.03.2021 02:00 - 01.03.2021 03:00;0;4271
01.03.2021 03:00 - 01.03.2021 04:00;0;4284
01.03.2021 04:00 - 01.03.2021 05:00;0;4347
01.03.2021 05:00 - 01.03.2021 06:00;0;3651
01.03.2021 06:00 - 01.03.2021 07:00;775;3185
01.03.2021 07:00 - 01.03.2021 08:00;1434;3143
01.03.2021 08:00 - 01.03.2021 09:00;1754;3163
01.03.2021 09:00 - 01.03.2021 10:00;1705;3165
01.03.2021 10:00 - 01.03.2021 11:00;1331;3150
01.03.2021 11:00 - 01.03.2021 12:00;895;3112
01.03.2021 12:00 - 01.03.2021 13:00;1388;3040
01.03.2021 13:00 - 01.03.2021 14:00;1419;3047
01.03.2021 14:00 - 01.03.2021 15:00;891;3095
01.03.2021 15:00 - 01.03.2021 16:00;828;3222
01.03.2021 16:00 - 01.03.2021 17:00;780;3177
01.03.2021 17:00 - 01.03.2021 18:00;863;2669
01.03.2021 18:00 - 01.03.2021 19:00;1170;2572
01.03.2021 19:00 - 01.03.2021 20:00;1985;2560
01.03.2021 20:00 - 01.03.2021 21:00;1719;2535
01.03.2021 21:00 - 01.03.2021 22:00;1868;1125
01.03.2021 22:00 - 01.03.2021 23:00;550;1720
01.03.2021 23:00 - 02.03.2021 00:00;514;1416
02.03.2021 00:00 - 02.03.2021 01:00;879;1469
02.03.2021 01:00 - 02.03.2021 02:00;0;2217
02.03.2021 02:00 - 02.03.2021 03:00;0;3385
02.03.2021 03:00 - 02.03.2021 04:00;0;3152
02.03.2021 04:00 - 02.03.2021 05:00;0;2637
02.03.2021 05:00 - 02.03.2021 06:00;0;3366
02.03.2021 06:00 - 02.03.2021 07:00;637;3486
02.03.2021 07:00 - 02.03.2021 08:00;1783;3241
02.03.2021 08:00 - 02.03.2021 09:00;2605;3280
02.03.2021 09:00 - 02.03.2021 10:00;1909;3230
02.03.2021 10:00 - 02.03.2021 11:00;1448;3224
02.03.2021 11:00 - 02.03.2021 12:00;774;3224
02.03.2021 12:00 - 02.03.2021 13:00;1147;3293
02.03.2021 13:00 - 02.03.2021 14:00;1858;3119
02.03.2021 14:00 - 02.03.2021 15:00;1631;3335
02.03.2021 15:00 - 02.03.2021 16:00;1205;3096
02.03.2021 16:00 - 02.03.2021 17:00;910;2845
02.03.2021 17:00 - 02.03.2021 18:00;1375;2576
02.03.2021 18:00 - 02.03.2021 19:00;1496;2568
02.03.2021 19:00 - 02.03.2021 20:00;1757;2568
02.03.2021 20:00 - 02.03.2021 21:00;4110;921
02.03.2021 21:00 - 02.03.2021 22:00;3808;0
02.03.2021 22:00 - 02.03.2021 23:00;3447;0
02.03.2021 23:00 - 03.03.2021 00:00;3561;48
03.03.2021 00:00 - 03.03.2021 01:00;3660;1081
03.03.2021 01:00 - 03.03.2021 02:00;3362;2448
03.03.2021 02:00 - 03.03.2021 03:00;3348;1466
03.03.2021 03:00 - 03.03.2021 04:00;3318;636
03.03.2021 04:00 - 03.03.2021 05:00;3605;523
03.03.2021 05:00 - 03.03.2021 06:00;3256;246
03.03.2021 06:00 - 03.03.2021 07:00;2324;0
03.03.2021 07:00 - 03.03.2021 08:00;3086;0
03.03.2021 08:00 - 03.03.2021 09:00;3424;0
03.03.2021 09:00 - 03.03.2021 10:00;3846;1473
03.03.2021 10:00 - 03.03.2021 11:00;3702;1873
03.03.2021 11:00 - 03.03.2021 12:00;2573;2508
03.03.2021 12:00 - 03.03.2021 13:00;2402;2875
03.03.2021 13:00 - 03.03.2021 14:00;2915;2296
03.03.2021 14:00 - 03.03.2021 15:00;2386;1902
03.03.2021 15:00 - 03.03.2021 16:00;2155;2128
03.03.2021 16:00 - 03.03.2021 17:00;226;1752
03.03.2021 17:00 - 03.03.2021 18:00;782;1953
03.03.2021 18:00 - 03.03.2021 19:00;1650;0
03.03.2021 19:00 - 03.03.2021 20:00;2168;0
03.03.2021 20:00 - 03.03.2021 21:00;4077;0
03.03.2021 21:00 - 03.03.2021 22:00;4035;0
03.03.2021 22:00 - 03.03.2021 23:00;3673;0
03.03.2021 23:00 - 04.03.2021 00:00;3697;0
04.03.2021 00:00 - 04.03.2021 01:00;3658;3
04.03.2021 01:00 - 04.03.2021 02:00;3497;0
04.03.2021 02:00 - 04.03.2021 03:00;3096;0
04.03.2021 03:00 - 04.03.2021 04:00;3080;301
04.03.2021 04:00 - 04.03.2021 05:00;2867;0
04.03.2021 05:00 - 04.03.2021 06:00;2320;0
04.03.2021 06:00 - 04.03.2021 07:00;2506;684
04.03.2021 07:00 - 04.03.2021 08:00;2056;1356
04.03.2021 08:00 - 04.03.2021 09:00;2837;1020
04.03.2021 09:00 - 04.03.2021 10:00;2499;513
04.03.2021 10:00 - 04.03.2021 11:00;2103;541
04.03.2021 11:00 - 04.03.2021 12:00;1816;1135
04.03.2021 12:00 - 04.03.2021 13:00;2092;1489
04.03.2021 13:00 - 04.03.2021 14:00;3335;1767
04.03.2021 14:00 - 04.03.2021 15:00;2558;1468
04.03.2021 15:00 - 04.03.2021 16:00;1736;1953
04.03.2021 16:00 - 04.03.2021 17:00;192;930
04.03.2021 17:00 - 04.03.2021 18:00;1237;779
04.03.2021 18:00 - 04.03.2021 19:00;2114;0
04.03.2021 19:00 - 04.03.2021 20:00;3377;0
04.03.2021 20:00 - 04.03.2021 21:00;4601;0
04.03.2021 21:00 - 04.03.2021 22:00;4582;0
04.03.2021 22:00 - 04.03.2021 23:00;4307;0
04.03.2021 23:00 - 05.03.2021 00:00;3625;0
05.03.2021 00:00 - 05.03.2021 01:00;3210;141
05.03.2021 01:00 - 05.03.2021 02:00;2767;667
05.03.2021 02:00 - 05.03.2021 03:00;3010;587
05.03.2021 03:00 - 05.03.2021 04:00;3252;642
05.03.2021 04:00 - 05.03.2021 05:00;3198;931
05.03.2021 05:00 - 05.03.2021 06:00;2087;188
05.03.2021 06:00 - 05.03.2021 07:00;2660;0
05.03.2021 07:00 - 05.03.2021 08:00;2806;0
05.03.2021 08:00 - 05.03.2021 09:00;2959;0
05.03.2021 09:00 - 05.03.2021 10:00;3390;0
05.03.2021 10:00 - 05.03.2021 11:00;3959;0
05.03.2021 11:00 - 05.03.2021 12:00;3757;0
05.03.2021 12:00 - 05.03.2021 13:00;2825;0
05.03.2021 13:00 - 05.03.2021 14:00;3457;434
05.03.2021 14:00 - 05.03.2021 15:00;3640;530
05.03.2021 15:00 - 05.03.2021 16:00;3532;1338
05.03.2021 16:00 - 05.03.2021 17:00;875;1194
05.03.2021 17:00 - 05.03.2021 18:00;0;15
05.03.2021 18:00 - 05.03.2021 19:00;801;0
05.03.2021 19:00 - 05.03.2021 20:00;1333;0
05.03.2021 20:00 - 05.03.2021 21:00;527;369
05.03.2021 21:00 - 05.03.2021 22:00;2344;445
05.03.2021 22:00 - 05.03.2021 23:00;838;122
05.03.2021 23:00 - 06.03.2021 00:00;0;642
06.03.2021 00:00 - 06.03.2021 01:00;579;0
06.03.2021 01:00 - 06.03.2021 02:00;104;0
06.03.2021 02:00 - 06.03.2021 03:00;309;0
06.03.2021 03:00 - 06.03.2021 04:00;149;0
06.03.2021 04:00 - 06.03.2021 05:00;0;153
06.03.2021 05:00 - 06.03.2021 06:00;48;0
06.03.2021 06:00 - 06.03.2021 07:00;437;0
06.03.2021 07:00 - 06.03.2021 08:00;856;145
06.03.2021 08:00 - 06.03.2021 09:00;1347;1808
06.03.2021 09:00 - 06.03.2021 10:00;969;2046
06.03.2021 10:00 - 06.03.2021 11:00;1639;2058
06.03.2021 11:00 - 06.03.2021 12:00;2159;2352
06.03.2021 12:00 - 06.03.2021 13:00;2110;2013
06.03.2021 13:00 - 06.03.2021 14:00;3593;1147
06.03.2021 14:00 - 06.03.2021 15:00;3334;1222
06.03.2021 15:00 - 06.03.2021 16:00;3327;1701
06.03.2021 16:00 - 06.03.2021 17:00;2008;1121
06.03.2021 17:00 - 06.03.2021 18:00;430;1203
06.03.2021 18:00 - 06.03.2021 19:00;2333;983
06.03.2021 19:00 - 06.03.2021 20:00;1856;91
