"MTU (CET),""Day-ahead Price [EUR/MWh]"",""BZN|ES"""
"01.03.2021 00:00 - 01.03.2021 01:00,""35.38"""
"01.03.2021 01:00 - 01.03.2021 02:00,""32.90"""
"01.03.2021 02:00 - 01.03.2021 03:00,""27.60"""
"01.03.2021 03:00 - 01.03.2021 04:00,""26.60"""
"01.03.2021 04:00 - 01.03.2021 05:00,""26.74"""
"01.03.2021 05:00 - 01.03.2021 06:00,""27.60"""
"01.03.2021 06:00 - 01.03.2021 07:00,""34.38"""
"01.03.2021 07:00 - 01.03.2021 08:00,""47.70"""
"01.03.2021 08:00 - 01.03.2021 09:00,""50.00"""
"01.03.2021 09:00 - 01.03.2021 10:00,""53.21"""
"01.03.2021 10:00 - 01.03.2021 11:00,""50.00"""
"01.03.2021 11:00 - 01.03.2021 12:00,""43.10"""
"01.03.2021 12:00 - 01.03.2021 13:00,""44.09"""
"01.03.2021 13:00 - 01.03.2021 14:00,""40.34"""
"01.03.2021 14:00 - 01.03.2021 15:00,""40.03"""
"01.03.2021 15:00 - 01.03.2021 16:00,""39.08"""
"01.03.2021 16:00 - 01.03.2021 17:00,""39.01"""
"01.03.2021 17:00 - 01.03.2021 18:00,""41.24"""
"01.03.2021 18:00 - 01.03.2021 19:00,""50.00"""
"01.03.2021 19:00 - 01.03.2021 20:00,""64.39"""
"01.03.2021 20:00 - 01.03.2021 21:00,""57.36"""
"01.03.2021 21:00 - 01.03.2021 22:00,""50.85"""
"01.03.2021 22:00 - 01.03.2021 23:00,""48.21"""
"01.03.2021 23:00 - 02.03.2021 00:00,""44.00"""
"02.03.2021 00:00 - 02.03.2021 01:00,""44.32"""
"02.03.2021 01:00 - 02.03.2021 02:00,""43.89"""
"02.03.2021 02:00 - 02.03.2021 03:00,""43.36"""
"02.03.2021 03:00 - 02.03.2021 04:00,""42.14"""
"02.03.2021 04:00 - 02.03.2021 05:00,""42.10"""
"02.03.2021 05:00 - 02.03.2021 06:00,""47.27"""
"02.03.2021 06:00 - 02.03.2021 07:00,""55.27"""
"02.03.2021 07:00 - 02.03.2021 08:00,""60.00"""
"02.03.2021 08:00 - 02.03.2021 09:00,""60.16"""
"02.03.2021 09:00 - 02.03.2021 10:00,""58.73"""
"02.03.2021 10:00 - 02.03.2021 11:00,""53.01"""
"02.03.2021 11:00 - 02.03.2021 12:00,""48.22"""
"02.03.2021 12:00 - 02.03.2021 13:00,""47.51"""
"02.03.2021 13:00 - 02.03.2021 14:00,""46.63"""
"02.03.2021 14:00 - 02.03.2021 15:00,""46.08"""
"02.03.2021 15:00 - 02.03.2021 16:00,""46.20"""
"02.03.2021 16:00 - 02.03.2021 17:00,""52.89"""
"02.03.2021 17:00 - 02.03.2021 18:00,""56.76"""
"02.03.2021 18:00 - 02.03.2021 19:00,""58.07"""
"02.03.2021 19:00 - 02.03.2021 20:00,""78.62"""
"02.03.2021 20:00 - 02.03.2021 21:00,""63.45"""
"02.03.2021 21:00 - 02.03.2021 22:00,""59.89"""
"02.03.2021 22:00 - 02.03.2021 23:00,""56.56"""
"02.03.2021 23:00 - 03.03.2021 00:00,""52.86"""
"03.03.2021 00:00 - 03.03.2021 01:00,""51.00"""
"03.03.2021 01:00 - 03.03.2021 02:00,""44.72"""
"03.03.2021 02:00 - 03.03.2021 03:00,""43.81"""
"03.03.2021 03:00 - 03.03.2021 04:00,""43.93"""
"03.03.2021 04:00 - 03.03.2021 05:00,""43.87"""
"03.03.2021 05:00 - 03.03.2021 06:00,""49.38"""
"03.03.2021 06:00 - 03.03.2021 07:00,""58.99"""
"03.03.2021 07:00 - 03.03.2021 08:00,""67.04"""
"03.03.2021 08:00 - 03.03.2021 09:00,""66.75"""
"03.03.2021 09:00 - 03.03.2021 10:00,""58.20"""
"03.03.2021 10:00 - 03.03.2021 11:00,""53.61"""
"03.03.2021 11:00 - 03.03.2021 12:00,""51.01"""
"03.03.2021 12:00 - 03.03.2021 13:00,""49.00"""
"03.03.2021 13:00 - 03.03.2021 14:00,""46.51"""
"03.03.2021 14:00 - 03.03.2021 15:00,""44.10"""
"03.03.2021 15:00 - 03.03.2021 16:00,""44.90"""
"03.03.2021 16:00 - 03.03.2021 17:00,""46.98"""
"03.03.2021 17:00 - 03.03.2021 18:00,""56.36"""
"03.03.2021 18:00 - 03.03.2021 19:00,""61.41"""
"03.03.2021 19:00 - 03.03.2021 20:00,""70.00"""
"03.03.2021 20:00 - 03.03.2021 21:00,""62.01"""
"03.03.2021 21:00 - 03.03.2021 22:00,""58.99"""
"03.03.2021 22:00 - 03.03.2021 23:00,""53.00"""
"03.03.2021 23:00 - 04.03.2021 00:00,""52.28"""
"04.03.2021 00:00 - 04.03.2021 01:00,""52.38"""
"04.03.2021 01:00 - 04.03.2021 02:00,""46.14"""
"04.03.2021 02:00 - 04.03.2021 03:00,""44.25"""
"04.03.2021 03:00 - 04.03.2021 04:00,""43.39"""
"04.03.2021 04:00 - 04.03.2021 05:00,""43.96"""
"04.03.2021 05:00 - 04.03.2021 06:00,""46.47"""
"04.03.2021 06:00 - 04.03.2021 07:00,""55.80"""
"04.03.2021 07:00 - 04.03.2021 08:00,""62.01"""
"04.03.2021 08:00 - 04.03.2021 09:00,""65.71"""
"04.03.2021 09:00 - 04.03.2021 10:00,""64.93"""
"04.03.2021 10:00 - 04.03.2021 11:00,""60.05"""
"04.03.2021 11:00 - 04.03.2021 12:00,""56.45"""
"04.03.2021 12:00 - 04.03.2021 13:00,""55.00"""
"04.03.2021 13:00 - 04.03.2021 14:00,""53.98"""
"04.03.2021 14:00 - 04.03.2021 15:00,""53.23"""
"04.03.2021 15:00 - 04.03.2021 16:00,""53.49"""
"04.03.2021 16:00 - 04.03.2021 17:00,""53.07"""
"04.03.2021 17:00 - 04.03.2021 18:00,""56.09"""
"04.03.2021 18:00 - 04.03.2021 19:00,""62.13"""
"04.03.2021 19:00 - 04.03.2021 20:00,""66.14"""
"04.03.2021 20:00 - 04.03.2021 21:00,""62.40"""
"04.03.2021 21:00 - 04.03.2021 22:00,""62.30"""
"04.03.2021 22:00 - 04.03.2021 23:00,""57.10"""
"04.03.2021 23:00 - 05.03.2021 00:00,""53.75"""
"05.03.2021 00:00 - 05.03.2021 01:00,""48.57"""
"05.03.2021 01:00 - 05.03.2021 02:00,""44.25"""
"05.03.2021 02:00 - 05.03.2021 03:00,""42.65"""
"05.03.2021 03:00 - 05.03.2021 04:00,""42.03"""
"05.03.2021 04:00 - 05.03.2021 05:00,""43.39"""
"05.03.2021 05:00 - 05.03.2021 06:00,""46.01"""
"05.03.2021 06:00 - 05.03.2021 07:00,""55.22"""
"05.03.2021 07:00 - 05.03.2021 08:00,""62.28"""
"05.03.2021 08:00 - 05.03.2021 09:00,""67.97"""
"05.03.2021 09:00 - 05.03.2021 10:00,""63.24"""
"05.03.2021 10:00 - 05.03.2021 11:00,""56.47"""
"05.03.2021 11:00 - 05.03.2021 12:00,""53.78"""
"05.03.2021 12:00 - 05.03.2021 13:00,""51.99"""
"05.03.2021 13:00 - 05.03.2021 14:00,""48.99"""
"05.03.2021 14:00 - 05.03.2021 15:00,""48.76"""
"05.03.2021 15:00 - 05.03.2021 16:00,""44.06"""
"05.03.2021 16:00 - 05.03.2021 17:00,""48.51"""
"05.03.2021 17:00 - 05.03.2021 18:00,""52.34"""
"05.03.2021 18:00 - 05.03.2021 19:00,""57.55"""
"05.03.2021 19:00 - 05.03.2021 20:00,""65.00"""
"05.03.2021 20:00 - 05.03.2021 21:00,""59.17"""
"05.03.2021 21:00 - 05.03.2021 22:00,""55.34"""
"05.03.2021 22:00 - 05.03.2021 23:00,""53.15"""
"05.03.2021 23:00 - 06.03.2021 00:00,""48.17"""
"06.03.2021 00:00 - 06.03.2021 01:00,""48.00"""
"06.03.2021 01:00 - 06.03.2021 02:00,""42.51"""
"06.03.2021 02:00 - 06.03.2021 03:00,""41.45"""
"06.03.2021 03:00 - 06.03.2021 04:00,""40.80"""
