Area;MTU;Hydro - Actual Aggregated [MW];Nuclear  - Actual Aggregated [MW];Other renewable  - Actual Aggregated [MW];Solar  - Actual Aggregated [MW];Wind - Actual Aggregated [MW]
BZN|ES;01.03.2021 00:00 - 01.03.2021 01:00 (CET);6053;7110;96;4;11595
BZN|ES;01.03.2021 01:00 - 01.03.2021 02:00 (CET);7002;7109;97;4;10731
BZN|ES;01.03.2021 02:00 - 01.03.2021 03:00 (CET);7465;7108;96;4;9914
BZN|ES;01.03.2021 03:00 - 01.03.2021 04:00 (CET);6928;7108;98;3;9387
BZN|ES;01.03.2021 04:00 - 01.03.2021 05:00 (CET);6555;7109;98;3;8818
BZN|ES;01.03.2021 05:00 - 01.03.2021 06:00 (CET);6217;7109;99;4;8803
BZN|ES;01.03.2021 06:00 - 01.03.2021 07:00 (CET);5712;7109;97;7;8925
BZN|ES;01.03.2021 07:00 - 01.03.2021 08:00 (CET);7095;7110;98;29;8864
BZN|ES;01.03.2021 08:00 - 01.03.2021 09:00 (CET);8562;7109;105;252;8697
BZN|ES;01.03.2021 09:00 - 01.03.2021 10:00 (CET);9233;7109;107;1314;8449
BZN|ES;01.03.2021 10:00 - 01.03.2021 11:00 (CET);9030;7105;109;2553;8930
BZN|ES;01.03.2021 11:00 - 01.03.2021 12:00 (CET);9054;7105;108;3230;9325
BZN|ES;01.03.2021 12:00 - 01.03.2021 13:00 (CET);7557;7106;110;3666;10148
BZN|ES;01.03.2021 13:00 - 01.03.2021 14:00 (CET);6790;7107;114;3641;10438
BZN|ES;01.03.2021 14:00 - 01.03.2021 15:00 (CET);6006;7108;114;3530;10489
BZN|ES;01.03.2021 15:00 - 01.03.2021 16:00 (CET);6082;7108;112;3112;9797
BZN|ES;01.03.2021 16:00 - 01.03.2021 17:00 (CET);7557;7108;111;2102;9274
BZN|ES;01.03.2021 17:00 - 01.03.2021 18:00 (CET);8295;7108;110;1306;8912
BZN|ES;01.03.2021 18:00 - 01.03.2021 19:00 (CET);9193;7109;111;421;8584
BZN|ES;01.03.2021 19:00 - 01.03.2021 20:00 (CET);10783;7112;110;45;8074
BZN|ES;01.03.2021 20:00 - 01.03.2021 21:00 (CET);10988;7112;111;15;7540
BZN|ES;01.03.2021 21:00 - 01.03.2021 22:00 (CET);9472;7113;112;14;7502
BZN|ES;01.03.2021 22:00 - 01.03.2021 23:00 (CET);9520;7113;106;14;7728
BZN|ES;01.03.2021 23:00 - 02.03.2021 00:00 (CET);8145;7113;105;14;7593
BZN|ES;02.03.2021 00:00 - 02.03.2021 01:00 (CET);4994;7113;96;17;7772
BZN|ES;02.03.2021 01:00 - 02.03.2021 02:00 (CET);6125;7113;96;23;7706
BZN|ES;02.03.2021 02:00 - 02.03.2021 03:00 (CET);6285;7111;98;27;7563
BZN|ES;02.03.2021 03:00 - 02.03.2021 04:00 (CET);6406;7111;98;26;7461
BZN|ES;02.03.2021 04:00 - 02.03.2021 05:00 (CET);6429;7111;99;27;7108
BZN|ES;02.03.2021 05:00 - 02.03.2021 06:00 (CET);6290;7111;99;27;6530
BZN|ES;02.03.2021 06:00 - 02.03.2021 07:00 (CET);6680;7111;97;25;6160
BZN|ES;02.03.2021 07:00 - 02.03.2021 08:00 (CET);8846;7111;98;27;5930
BZN|ES;02.03.2021 08:00 - 02.03.2021 09:00 (CET);10077;7112;108;303;5510
BZN|ES;02.03.2021 09:00 - 02.03.2021 10:00 (CET);10161;7113;108;1429;4941
BZN|ES;02.03.2021 10:00 - 02.03.2021 11:00 (CET);10382;7110;106;2698;4494
BZN|ES;02.03.2021 11:00 - 02.03.2021 12:00 (CET);10146;7109;103;3808;4420
BZN|ES;02.03.2021 12:00 - 02.03.2021 13:00 (CET);9289;7109;104;4491;4505
BZN|ES;02.03.2021 13:00 - 02.03.2021 14:00 (CET);8120;7107;104;4653;4442
BZN|ES;02.03.2021 14:00 - 02.03.2021 15:00 (CET);8408;7105;106;4125;4409
BZN|ES;02.03.2021 15:00 - 02.03.2021 16:00 (CET);8198;7103;106;3658;4198
BZN|ES;02.03.2021 16:00 - 02.03.2021 17:00 (CET);8533;7101;105;3057;3887
BZN|ES;02.03.2021 17:00 - 02.03.2021 18:00 (CET);9665;7101;104;1990;3448
BZN|ES;02.03.2021 18:00 - 02.03.2021 19:00 (CET);11053;7103;103;546;2987
BZN|ES;02.03.2021 19:00 - 02.03.2021 20:00 (CET);11764;7107;103;28;2991
BZN|ES;02.03.2021 20:00 - 02.03.2021 21:00 (CET);11301;7108;105;13;3156
BZN|ES;02.03.2021 21:00 - 02.03.2021 22:00 (CET);11166;7108;108;12;3109
BZN|ES;02.03.2021 22:00 - 02.03.2021 23:00 (CET);9621;7110;100;12;3092
BZN|ES;02.03.2021 23:00 - 03.03.2021 00:00 (CET);7672;7110;101;14;2881
BZN|ES;03.03.2021 00:00 - 03.03.2021 01:00 (CET);6337;7111;98;14;2834
BZN|ES;03.03.2021 01:00 - 03.03.2021 02:00 (CET);6452;7110;97;14;2683
BZN|ES;03.03.2021 02:00 - 03.03.2021 03:00 (CET);6399;7109;96;14;2605
BZN|ES;03.03.2021 03:00 - 03.03.2021 04:00 (CET);6456;7110;99;14;2571
BZN|ES;03.03.2021 04:00 - 03.03.2021 05:00 (CET);6009;7110;100;14;2472
BZN|ES;03.03.2021 05:00 - 03.03.2021 06:00 (CET);5880;7109;98;14;2441
BZN|ES;03.03.2021 06:00 - 03.03.2021 07:00 (CET);6821;7108;97;13;2450
BZN|ES;03.03.2021 07:00 - 03.03.2021 08:00 (CET);9467;7107;96;18;2506
BZN|ES;03.03.2021 08:00 - 03.03.2021 09:00 (CET);10459;7104;104;309;2291
BZN|ES;03.03.2021 09:00 - 03.03.2021 10:00 (CET);9634;7105;107;1482;2028
BZN|ES;03.03.2021 10:00 - 03.03.2021 11:00 (CET);9239;7097;107;2873;1901
BZN|ES;03.03.2021 11:00 - 03.03.2021 12:00 (CET);9301;7094;105;3853;2105
BZN|ES;03.03.2021 12:00 - 03.03.2021 13:00 (CET);8478;7096;107;4661;2536
BZN|ES;03.03.2021 13:00 - 03.03.2021 14:00 (CET);7870;7108;107;5084;2726
BZN|ES;03.03.2021 14:00 - 03.03.2021 15:00 (CET);7821;7111;108;5162;2698
BZN|ES;03.03.2021 15:00 - 03.03.2021 16:00 (CET);7597;7109;106;4723;2625
BZN|ES;03.03.2021 16:00 - 03.03.2021 17:00 (CET);9011;7107;109;3862;2458
BZN|ES;03.03.2021 17:00 - 03.03.2021 18:00 (CET);9625;7109;108;2364;2384
BZN|ES;03.03.2021 18:00 - 03.03.2021 19:00 (CET);10740;7110;109;659;2261
BZN|ES;03.03.2021 19:00 - 03.03.2021 20:00 (CET);11156;7111;111;47;2203
BZN|ES;03.03.2021 20:00 - 03.03.2021 21:00 (CET);10680;7110;111;34;2598
BZN|ES;03.03.2021 21:00 - 03.03.2021 22:00 (CET);10013;7112;110;33;2774
BZN|ES;03.03.2021 22:00 - 03.03.2021 23:00 (CET);8648;7113;103;34;3119
BZN|ES;03.03.2021 23:00 - 04.03.2021 00:00 (CET);6315;7114;104;34;3547
