MTU;Exports
01.01.2021 00:00 ;1731
01.01.2021 01:00 ;2573
01.01.2021 02:00 ;3176
01.01.2021 03:00 ;3544
01.01.2021 04:00 ;4246
01.01.2021 05:00 ;4323
01.01.2021 06:00 ;4276
01.01.2021 07:00 ;4412
01.01.2021 08:00 ;4292
01.01.2021 09:00 ;4370
01.01.2021 10:00 ;4503
01.01.2021 11:00 ;4647
01.01.2021 12:00 ;5009
01.01.2021 13:00 ;4911
01.01.2021 14:00 ;4663
01.01.2021 15:00 ;4809
01.01.2021 16:00 ;4173
01.01.2021 17:00 ;2813
01.01.2021 18:00 ;2572
01.01.2021 19:00 ;2560
01.01.2021 20:00 ;2535
01.01.2021 21:00 ;1125
01.01.2021 22:00 ;1720
01.01.2021 23:00 ;1970
02.01.2021 00:00 ;2300
02.01.2021 01:00 ;4042
02.01.2021 02:00 ;4935
02.01.2021 03:00 ;4965
02.01.2021 04:00 ;4738
02.01.2021 05:00 ;4889
02.01.2021 06:00 ;4983
02.01.2021 07:00 ;4793
02.01.2021 08:00 ;4057
02.01.2021 09:00 ;4020
02.01.2021 10:00 ;4412
02.01.2021 11:00 ;4725
02.01.2021 12:00 ;5160
02.01.2021 13:00 ;5290
02.01.2021 14:00 ;5072
02.01.2021 15:00 ;5257
02.01.2021 16:00 ;5135
02.01.2021 17:00 ;4992
02.01.2021 18:00 ;4226
02.01.2021 19:00 ;3916
02.01.2021 20:00 ;2546
02.01.2021 21:00 ;2060
02.01.2021 22:00 ;2269
02.01.2021 23:00 ;2002
03.01.2021 00:00 ;3404
03.01.2021 01:00 ;4392
03.01.2021 02:00 ;4009
03.01.2021 03:00 ;3180
03.01.2021 04:00 ;3051
03.01.2021 05:00 ;2736
03.01.2021 06:00 ;2539
03.01.2021 07:00 ;2434
03.01.2021 08:00 ;2332
03.01.2021 09:00 ;2717
03.01.2021 10:00 ;2731
03.01.2021 11:00 ;3463
03.01.2021 12:00 ;4373
03.01.2021 13:00 ;3858
03.01.2021 14:00 ;3352
03.01.2021 15:00 ;3843
03.01.2021 16:00 ;3438
03.01.2021 17:00 ;3216
03.01.2021 18:00 ;1012
03.01.2021 19:00 ;1235
03.01.2021 20:00 ;1891
03.01.2021 21:00 ;1873
03.01.2021 22:00 ;2075
03.01.2021 23:00 ;2029
04.01.2021 00:00 ;2129
04.01.2021 01:00 ;2379
04.01.2021 02:00 ;2332
04.01.2021 03:00 ;1979
04.01.2021 04:00 ;1472
04.01.2021 05:00 ;1392
04.01.2021 06:00 ;1553
04.01.2021 07:00 ;1356
04.01.2021 08:00 ;1020
04.01.2021 09:00 ;513
04.01.2021 10:00 ;541
04.01.2021 11:00 ;1135
04.01.2021 12:00 ;1489
04.01.2021 13:00 ;1767
04.01.2021 14:00 ;1468
04.01.2021 15:00 ;1953
04.01.2021 16:00 ;930
04.01.2021 17:00 ;779
04.01.2021 18:00 ;0
04.01.2021 19:00 ;0
04.01.2021 20:00 ;0
04.01.2021 21:00 ;0
04.01.2021 22:00 ;199
04.01.2021 23:00 ;734
05.01.2021 00:00 ;1018
05.01.2021 01:00 ;1734
05.01.2021 02:00 ;1204
05.01.2021 03:00 ;1069
05.01.2021 04:00 ;1040
05.01.2021 05:00 ;1127
05.01.2021 06:00 ;859
05.01.2021 07:00 ;0
05.01.2021 08:00 ;0
05.01.2021 09:00 ;0
05.01.2021 10:00 ;0
05.01.2021 11:00 ;0
05.01.2021 12:00 ;0
05.01.2021 13:00 ;0
05.01.2021 14:00 ;0
05.01.2021 15:00 ;216
05.01.2021 16:00 ;0
05.01.2021 17:00 ;0
05.01.2021 18:00 ;0
05.01.2021 19:00 ;0
05.01.2021 20:00 ;0
05.01.2021 21:00 ;0
05.01.2021 22:00 ;0
05.01.2021 23:00 ;0
06.01.2021 00:00 ;0
06.01.2021 01:00 ;539
06.01.2021 02:00 ;1107
06.01.2021 03:00 ;1030
06.01.2021 04:00 ;875
06.01.2021 05:00 ;944
06.01.2021 06:00 ;860
06.01.2021 07:00 ;300
06.01.2021 08:00 ;1808
06.01.2021 09:00 ;2046
06.01.2021 10:00 ;2002
06.01.2021 11:00 ;1580
06.01.2021 12:00 ;1128
06.01.2021 13:00 ;0
06.01.2021 14:00 ;0
06.01.2021 15:00 ;446
06.01.2021 16:00 ;57
06.01.2021 17:00 ;1203
06.01.2021 18:00 ;983
06.01.2021 19:00 ;91
06.01.2021 20:00 ;0
06.01.2021 21:00 ;0
06.01.2021 22:00 ;0
06.01.2021 23:00 ;0
07.01.2021 00:00 ;62
07.01.2021 01:00 ;608
07.01.2021 02:00 ;1442
07.01.2021 03:00 ;1199
07.01.2021 04:00 ;1528
07.01.2021 05:00 ;920
07.01.2021 06:00 ;163
07.01.2021 07:00 ;0
07.01.2021 08:00 ;0
07.01.2021 09:00 ;0
07.01.2021 10:00 ;0
07.01.2021 11:00 ;0
07.01.2021 12:00 ;0
07.01.2021 13:00 ;0
07.01.2021 14:00 ;0
07.01.2021 15:00 ;0
07.01.2021 16:00 ;0
07.01.2021 17:00 ;0
07.01.2021 18:00 ;0
07.01.2021 19:00 ;0
07.01.2021 20:00 ;0
07.01.2021 21:00 ;0
07.01.2021 22:00 ;0
07.01.2021 23:00 ;0
08.01.2021 00:00 ;171
08.01.2021 01:00 ;1379
08.01.2021 02:00 ;2224
08.01.2021 03:00 ;2282
08.01.2021 04:00 ;2401
08.01.2021 05:00 ;2140
08.01.2021 06:00 ;1994
08.01.2021 07:00 ;0
08.01.2021 08:00 ;0
08.01.2021 09:00 ;0
08.01.2021 10:00 ;0
08.01.2021 11:00 ;0
08.01.2021 12:00 ;0
08.01.2021 13:00 ;0
08.01.2021 14:00 ;0
08.01.2021 15:00 ;0
08.01.2021 16:00 ;0
08.01.2021 17:00 ;0
08.01.2021 18:00 ;0
08.01.2021 19:00 ;0
08.01.2021 20:00 ;0
08.01.2021 21:00 ;0
08.01.2021 22:00 ;0
08.01.2021 23:00 ;230
09.01.2021 00:00 ;2231
09.01.2021 01:00 ;2235
09.01.2021 02:00 ;2246
09.01.2021 03:00 ;2253
09.01.2021 04:00 ;2284
09.01.2021 05:00 ;2220
09.01.2021 06:00 ;2360
09.01.2021 07:00 ;1317
09.01.2021 08:00 ;1406
09.01.2021 09:00 ;1529
09.01.2021 10:00 ;458
09.01.2021 11:00 ;589
09.01.2021 12:00 ;1512
09.01.2021 13:00 ;1589
09.01.2021 14:00 ;1581
09.01.2021 15:00 ;1991
09.01.2021 16:00 ;1995
09.01.2021 17:00 ;1930
09.01.2021 18:00 ;306
09.01.2021 19:00 ;38
09.01.2021 20:00 ;0
09.01.2021 21:00 ;0
09.01.2021 22:00 ;531
09.01.2021 23:00 ;1904
10.01.2021 00:00 ;2272
10.01.2021 01:00 ;2293
10.01.2021 02:00 ;2294
10.01.2021 03:00 ;2293
10.01.2021 04:00 ;2218
10.01.2021 05:00 ;2207
10.01.2021 06:00 ;2224
10.01.2021 07:00 ;2010
10.01.2021 08:00 ;1994
10.01.2021 09:00 ;2003
10.01.2021 10:00 ;2018
10.01.2021 11:00 ;1706
10.01.2021 12:00 ;1674
10.01.2021 13:00 ;1695
10.01.2021 14:00 ;1694
10.01.2021 15:00 ;2560
10.01.2021 16:00 ;2585
10.01.2021 17:00 ;2610
10.01.2021 18:00 ;2484
10.01.2021 19:00 ;2228
10.01.2021 20:00 ;1549
10.01.2021 21:00 ;881
10.01.2021 22:00 ;2329
10.01.2021 23:00 ;2994
11.01.2021 00:00 ;2360
11.01.2021 01:00 ;2494
11.01.2021 02:00 ;2220
11.01.2021 03:00 ;2291
11.01.2021 04:00 ;2268
11.01.2021 05:00 ;1898
11.01.2021 06:00 ;909
11.01.2021 07:00 ;452
11.01.2021 08:00 ;0
11.01.2021 09:00 ;0
11.01.2021 10:00 ;0
11.01.2021 11:00 ;0
11.01.2021 12:00 ;15
11.01.2021 13:00 ;0
11.01.2021 14:00 ;207
11.01.2021 15:00 ;789
11.01.2021 16:00 ;589
11.01.2021 17:00 ;0
11.01.2021 18:00 ;0
11.01.2021 19:00 ;0
11.01.2021 20:00 ;0
11.01.2021 21:00 ;0
11.01.2021 22:00 ;84
11.01.2021 23:00 ;975
12.01.2021 00:00 ;1082
12.01.2021 01:00 ;1517
12.01.2021 02:00 ;1753
12.01.2021 03:00 ;1248
12.01.2021 04:00 ;1221
12.01.2021 05:00 ;1356
12.01.2021 06:00 ;951
12.01.2021 07:00 ;199
12.01.2021 08:00 ;0
12.01.2021 09:00 ;0
12.01.2021 10:00 ;0
12.01.2021 11:00 ;0
12.01.2021 12:00 ;945
12.01.2021 13:00 ;627
12.01.2021 14:00 ;691
12.01.2021 15:00 ;1777
12.01.2021 16:00 ;2019
12.01.2021 17:00 ;605
12.01.2021 18:00 ;32
12.01.2021 19:00 ;662
12.01.2021 20:00 ;535
12.01.2021 21:00 ;1235
12.01.2021 22:00 ;2049
12.01.2021 23:00 ;2025
13.01.2021 00:00 ;410
13.01.2021 01:00 ;2452
13.01.2021 02:00 ;2302
13.01.2021 03:00 ;2373
13.01.2021 04:00 ;2643
13.01.2021 05:00 ;2260
13.01.2021 06:00 ;2001
13.01.2021 07:00 ;1646
13.01.2021 08:00 ;748
13.01.2021 09:00 ;173
13.01.2021 10:00 ;889
13.01.2021 11:00 ;1552
13.01.2021 12:00 ;2404
13.01.2021 13:00 ;2308
13.01.2021 14:00 ;2072
13.01.2021 15:00 ;2245
13.01.2021 16:00 ;1690
13.01.2021 17:00 ;681
13.01.2021 18:00 ;17
13.01.2021 19:00 ;0
13.01.2021 20:00 ;0
13.01.2021 21:00 ;0
13.01.2021 22:00 ;0
13.01.2021 23:00 ;313
14.01.2021 00:00 ;1218
14.01.2021 01:00 ;2139
14.01.2021 02:00 ;2846
14.01.2021 03:00 ;2864
14.01.2021 04:00 ;2843
14.01.2021 05:00 ;2601
14.01.2021 06:00 ;1844
14.01.2021 07:00 ;729
14.01.2021 08:00 ;0
14.01.2021 09:00 ;0
14.01.2021 10:00 ;168
14.01.2021 11:00 ;1128
14.01.2021 12:00 ;1909
14.01.2021 13:00 ;1998
14.01.2021 14:00 ;1662
14.01.2021 15:00 ;2086
14.01.2021 16:00 ;1632
14.01.2021 17:00 ;889
14.01.2021 18:00 ;0
14.01.2021 19:00 ;0
14.01.2021 20:00 ;0
14.01.2021 21:00 ;0
14.01.2021 22:00 ;214
14.01.2021 23:00 ;1391
15.01.2021 00:00 ;2740
15.01.2021 01:00 ;3613
15.01.2021 02:00 ;3324
15.01.2021 03:00 ;3476
15.01.2021 04:00 ;3093
15.01.2021 05:00 ;2923
15.01.2021 06:00 ;2374
15.01.2021 07:00 ;571
15.01.2021 08:00 ;0
15.01.2021 09:00 ;0
15.01.2021 10:00 ;361
15.01.2021 11:00 ;1221
15.01.2021 12:00 ;1695
15.01.2021 13:00 ;1475
15.01.2021 14:00 ;2067
15.01.2021 15:00 ;2349
15.01.2021 16:00 ;2239
15.01.2021 17:00 ;57
15.01.2021 18:00 ;0
15.01.2021 19:00 ;0
15.01.2021 20:00 ;0
15.01.2021 21:00 ;0
15.01.2021 22:00 ;1686
15.01.2021 23:00 ;2552
16.01.2021 00:00 ;2286
16.01.2021 01:00 ;2969
16.01.2021 02:00 ;2653
16.01.2021 03:00 ;2611
16.01.2021 04:00 ;2878
16.01.2021 05:00 ;2870
16.01.2021 06:00 ;2594
16.01.2021 07:00 ;2086
16.01.2021 08:00 ;1446
16.01.2021 09:00 ;1379
16.01.2021 10:00 ;671
16.01.2021 11:00 ;927
16.01.2021 12:00 ;1685
16.01.2021 13:00 ;2309
16.01.2021 14:00 ;2352
16.01.2021 15:00 ;2949
16.01.2021 16:00 ;2909
16.01.2021 17:00 ;1905
16.01.2021 18:00 ;1068
16.01.2021 19:00 ;1040
16.01.2021 20:00 ;623
16.01.2021 21:00 ;922
16.01.2021 22:00 ;1273
16.01.2021 23:00 ;1651
17.01.2021 00:00 ;1541
17.01.2021 01:00 ;1858
17.01.2021 02:00 ;1996
17.01.2021 03:00 ;2109
17.01.2021 04:00 ;2052
17.01.2021 05:00 ;2104
17.01.2021 06:00 ;2094
17.01.2021 07:00 ;2079
17.01.2021 08:00 ;2003
17.01.2021 09:00 ;1585
17.01.2021 10:00 ;1941
17.01.2021 11:00 ;1772
17.01.2021 12:00 ;2172
17.01.2021 13:00 ;2621
17.01.2021 14:00 ;2887
17.01.2021 15:00 ;3197
17.01.2021 16:00 ;2982
17.01.2021 17:00 ;1724
17.01.2021 18:00 ;450
17.01.2021 19:00 ;399
17.01.2021 20:00 ;384
17.01.2021 21:00 ;384
17.01.2021 22:00 ;377
17.01.2021 23:00 ;434
18.01.2021 00:00 ;2008
18.01.2021 01:00 ;2597
18.01.2021 02:00 ;2770
18.01.2021 03:00 ;2705
18.01.2021 04:00 ;2931
18.01.2021 05:00 ;2432
18.01.2021 06:00 ;1027
18.01.2021 07:00 ;0
18.01.2021 08:00 ;0
18.01.2021 09:00 ;0
18.01.2021 10:00 ;0
18.01.2021 11:00 ;0
18.01.2021 12:00 ;278
18.01.2021 13:00 ;276
18.01.2021 14:00 ;604
18.01.2021 15:00 ;869
18.01.2021 16:00 ;96
18.01.2021 17:00 ;0
18.01.2021 18:00 ;0
18.01.2021 19:00 ;0
18.01.2021 20:00 ;0
18.01.2021 21:00 ;0
18.01.2021 22:00 ;0
18.01.2021 23:00 ;0
19.01.2021 00:00 ;0
19.01.2021 01:00 ;2
19.01.2021 02:00 ;951
19.01.2021 03:00 ;1226
19.01.2021 04:00 ;939
19.01.2021 05:00 ;686
19.01.2021 06:00 ;138
19.01.2021 07:00 ;0
19.01.2021 08:00 ;0
