Time (CET);Demand;Imports;Exports;Price;Hydro;Nuclear;Other renewable;Solar;Wind
01.03.2021 00:00 - 01.03.2021 01:00;23841;0;2476;35.38;6053;7110;96;4;11595
01.03.2021 01:00 - 01.03.2021 02:00;22254;0;3647;32.9;7002;7109;97;4;10731
01.03.2021 02:00 - 01.03.2021 03:00;21433;0;4271;27.6;7465;7108;96;4;9914
01.03.2021 03:00 - 01.03.2021 04:00;21055;0;4284;26.6;6928;7108;98;3;9387
01.03.2021 04:00 - 01.03.2021 05:00;20964;0;4347;26.74;6555;7109;98;3;8818
01.03.2021 05:00 - 01.03.2021 06:00;21980;0;3651;27.6;6217;7109;99;4;8803
01.03.2021 06:00 - 01.03.2021 07:00;24818;775;3185;34.38;5712;7109;97;7;8925
01.03.2021 07:00 - 01.03.2021 08:00;28387;1434;3143;47.7;7095;7110;98;29;8864
01.03.2021 08:00 - 01.03.2021 09:00;30723;1754;3163;50;8562;7109;105;252;8697
01.03.2021 09:00 - 01.03.2021 10:00;32502;1705;3165;53.21;9233;7109;107;1314;8449
01.03.2021 10:00 - 01.03.2021 11:00;33458;1331;3150;50;9030;7105;109;2553;8930
01.03.2021 11:00 - 01.03.2021 12:00;33693;895;3112;43.1;9054;7105;108;3230;9325
01.03.2021 12:00 - 01.03.2021 13:00;33842;1388;3040;44.09;7557;7106;110;3666;10148
01.03.2021 13:00 - 01.03.2021 14:00;33790;1419;3047;40.34;6790;7107;114;3641;10438
01.03.2021 14:00 - 01.03.2021 15:00;32850;891;3095;40.03;6006;7108;114;3530;10489
01.03.2021 15:00 - 01.03.2021 16:00;31868;828;3222;39.08;6082;7108;112;3112;9797
01.03.2021 16:00 - 01.03.2021 17:00;31034;780;3177;39.01;7557;7108;111;2102;9274
01.03.2021 17:00 - 01.03.2021 18:00;30776;863;2669;41.24;8295;7108;110;1306;8912
01.03.2021 18:00 - 01.03.2021 19:00;31119;1170;2572;50;9193;7109;111;421;8584
01.03.2021 19:00 - 01.03.2021 20:00;33476;1985;2560;64.39;10783;7112;110;45;8074
01.03.2021 20:00 - 01.03.2021 21:00;34466;1719;2535;57.36;10988;7112;111;15;7540
01.03.2021 21:00 - 01.03.2021 22:00;33073;1868;1125;50.85;9472;7113;112;14;7502
01.03.2021 22:00 - 01.03.2021 23:00;30516;550;1720;48.21;9520;7113;106;14;7728
01.03.2021 23:00 - 02.03.2021 00:00;27718;514;1416;44;8145;7113;105;14;7593
02.03.2021 00:00 - 02.03.2021 01:00;25543;879;1469;44.32;4994;7113;96;17;7772
02.03.2021 01:00 - 02.03.2021 02:00;23991;0;2217;43.89;6125;7113;96;23;7706
02.03.2021 02:00 - 02.03.2021 03:00;23069;0;3385;43.36;6285;7111;98;27;7563
02.03.2021 03:00 - 02.03.2021 04:00;22731;0;3152;42.14;6406;7111;98;26;7461
02.03.2021 04:00 - 02.03.2021 05:00;22590;0;2637;42.1;6429;7111;99;27;7108
02.03.2021 05:00 - 02.03.2021 06:00;23263;0;3366;47.27;6290;7111;99;27;6530
02.03.2021 06:00 - 02.03.2021 07:00;26017;637;3486;55.27;6680;7111;97;25;6160
02.03.2021 07:00 - 02.03.2021 08:00;29834;1783;3241;60;8846;7111;98;27;5930
02.03.2021 08:00 - 02.03.2021 09:00;32368;2605;3280;60.16;10077;7112;108;303;5510
02.03.2021 09:00 - 02.03.2021 10:00;33740;1909;3230;58.73;10161;7113;108;1429;4941
02.03.2021 10:00 - 02.03.2021 11:00;34134;1448;3224;53.01;10382;7110;106;2698;4494
02.03.2021 11:00 - 02.03.2021 12:00;34105;774;3224;48.22;10146;7109;103;3808;4420
02.03.2021 12:00 - 02.03.2021 13:00;34032;1147;3293;47.51;9289;7109;104;4491;4505
02.03.2021 13:00 - 02.03.2021 14:00;33765;1858;3119;46.63;8120;7107;104;4653;4442
02.03.2021 14:00 - 02.03.2021 15:00;32945;1631;3335;46.08;8408;7105;106;4125;4409
02.03.2021 15:00 - 02.03.2021 16:00;31947;1205;3096;46.2;8198;7103;106;3658;4198
02.03.2021 16:00 - 02.03.2021 17:00;31261;910;2845;52.89;8533;7101;105;3057;3887
02.03.2021 17:00 - 02.03.2021 18:00;31017;1375;2576;56.76;9665;7101;104;1990;3448
02.03.2021 18:00 - 02.03.2021 19:00;31375;1496;2568;58.07;11053;7103;103;546;2987
02.03.2021 19:00 - 02.03.2021 20:00;33566;1757;2568;78.62;11764;7107;103;28;2991
02.03.2021 20:00 - 02.03.2021 21:00;34782;4110;921;63.45;11301;7108;105;13;3156
02.03.2021 21:00 - 02.03.2021 22:00;33621;3808;0;59.89;11166;7108;108;12;3109
02.03.2021 22:00 - 02.03.2021 23:00;30891;3447;0;56.56;9621;7110;100;12;3092
02.03.2021 23:00 - 03.03.2021 00:00;27959;3561;48;52.86;7672;7110;101;14;2881
03.03.2021 00:00 - 03.03.2021 01:00;26073;3660;1081;51;6337;7111;98;14;2834
03.03.2021 01:00 - 03.03.2021 02:00;24440;3362;2448;44.72;6452;7110;97;14;2683
03.03.2021 02:00 - 03.03.2021 03:00;23581;3348;1466;43.81;6399;7109;96;14;2605
03.03.2021 03:00 - 03.03.2021 04:00;23224;3318;636;43.93;6456;7110;99;14;2571
03.03.2021 04:00 - 03.03.2021 05:00;23022;3605;523;43.87;6009;7110;100;14;2472
03.03.2021 05:00 - 03.03.2021 06:00;23671;3256;246;49.38;5880;7109;98;14;2441
03.03.2021 06:00 - 03.03.2021 07:00;26381;2324;0;58.99;6821;7108;97;13;2450
03.03.2021 07:00 - 03.03.2021 08:00;30079;3086;0;67.04;9467;7107;96;18;2506
03.03.2021 08:00 - 03.03.2021 09:00;32195;3424;0;66.75;10459;7104;104;309;2291
