MTU;Coal ;Gas;Other fossil;Hydro;Nuclear;Solar;Wind;Other renewables;Other
01.01.2021 00:00 ;261;4527;79;6180;7117;10;6879;13069;55
01.01.2021 01:00 ;261;4546;78;5768;7117;9;7001;12778;54
01.01.2021 02:00 ;260;4117;78;4712;7118;10;7256;11978;55
01.01.2021 03:00 ;259;3781;78;4630;7118;9;7951;12590;55
01.01.2021 04:00 ;259;3734;78;4709;7119;9;8791;13509;54
01.01.2021 05:00 ;268;3597;78;4637;7118;9;9209;13855;54
01.01.2021 06:00 ;277;3547;77;4815;7119;19;9454;14288;55
01.01.2021 07:00 ;262;3481;77;5428;7120;24;9970;15422;54
01.01.2021 08:00 ;256;3526;68;6228;7119;51;10461;16740;54
01.01.2021 09:00 ;256;3370;73;6526;7117;1010;10788;18324;54
01.01.2021 10:00 ;256;3339;77;6720;7116;3278;10565;20563;53
01.01.2021 11:00 ;256;3426;77;6113;7116;4529;10593;21235;54
01.01.2021 12:00 ;256;3439;79;5670;7116;5000;11267;21937;54
01.01.2021 13:00 ;256;3413;79;5060;7114;5252;11815;22127;54
01.01.2021 14:00 ;258;3840;78;5402;7115;4739;11863;22004;53
01.01.2021 15:00 ;274;3508;78;5151;7116;3893;11701;20745;54
01.01.2021 16:00 ;256;3711;80;5768;7116;2344;11085;19197;53
01.01.2021 17:00 ;256;3777;80;6041;7112;701;10391;17133;52
01.01.2021 18:00 ;265;4154;78;6756;7116;78;10015;16849;53
01.01.2021 19:00 ;256;4686;74;7181;7116;57;10110;17348;54
01.01.2021 20:00 ;256;5055;82;8015;7116;56;10069;18140;55
01.01.2021 21:00 ;256;4446;82;7082;7115;56;10395;17533;55
01.01.2021 22:00 ;256;4538;82;6931;7116;58;10262;17251;55
01.01.2021 23:00 ;256;4180;82;5374;7118;58;10258;15690;55
02.01.2021 00:00 ;258;4169;82;4081;7119;58;10170;14309;55
02.01.2021 01:00 ;258;4175;81;4400;7119;53;10165;14618;54
02.01.2021 02:00 ;258;4155;81;4520;7117;13;10391;14924;54
02.01.2021 03:00 ;258;4294;82;4870;7118;8;10516;15394;53
02.01.2021 04:00 ;258;4424;83;5307;7119;8;10443;15758;54
02.01.2021 05:00 ;258;4288;82;5518;7118;8;10690;16216;53
02.01.2021 06:00 ;258;4445;82;4665;7117;7;11014;15686;53
02.01.2021 07:00 ;258;4875;89;4688;7117;7;11119;15814;55
02.01.2021 08:00 ;258;4887;107;4541;7118;57;11268;15866;57
02.01.2021 09:00 ;258;5233;114;4765;7116;1274;11629;17668;57
02.01.2021 10:00 ;258;4988;117;4999;7116;3458;11788;20245;56
02.01.2021 11:00 ;258;4822;117;4960;7115;4888;11824;21672;55
02.01.2021 12:00 ;258;4750;118;4232;7115;5703;12069;22004;56
02.01.2021 13:00 ;258;5003;118;4404;7115;5831;12142;22377;55
02.01.2021 14:00 ;258;4869;118;4469;7115;5705;12330;22504;55
02.01.2021 15:00 ;258;4981;121;4252;7115;5297;12310;21859;55
02.01.2021 16:00 ;258;5166;123;4811;7116;3936;12113;20860;55
02.01.2021 17:00 ;258;5918;127;6702;7115;1525;11789;20016;55
02.01.2021 18:00 ;258;6377;131;9306;7117;235;11613;21154;56
02.01.2021 19:00 ;258;6520;131;10183;7119;41;11641;21865;56
02.01.2021 20:00 ;258;6493;130;9823;7119;19;11425;21267;56
02.01.2021 21:00 ;258;6097;131;8168;7120;19;11282;19469;56
