MTU;Month-ahead
14/09/2012;90.3
17/09/2012;90.05
18/09/2012;89.75
19/09/2012;89.6
20/09/2012;89.95
21/09/2012;88.8
24/09/2012;87.3
25/09/2012;87.05
26/09/2012;87.15
27/09/2012;87.95
28/09/2012;87.95
01/10/2012;88.3
02/10/2012;88.6
03/10/2012;88.25
04/10/2012;88.85
05/10/2012;89.6
08/10/2012;89.75
09/10/2012;89.7
10/10/2012;88.65
11/10/2012;87.8
12/10/2012;86.7
15/10/2012;85.15
16/10/2012;86.1
17/10/2012;87
18/10/2012;86.9
19/10/2012;87.6
22/10/2012;87.65
23/10/2012;87.4
24/10/2012;86.8
25/10/2012;86.05
26/10/2012;85.9
29/10/2012;84.8
30/10/2012;85.4
31/10/2012;85.5
01/11/2012;87
02/11/2012;87.25
05/11/2012;88.1
06/11/2012;89.4
07/11/2012;89.05
08/11/2012;90.05
09/11/2012;90.3
12/11/2012;91.15
13/11/2012;90.05
14/11/2012;91.1
15/11/2012;92.1
16/11/2012;92.7
19/11/2012;92.25
20/11/2012;91.4
21/11/2012;90.95
22/11/2012;92
23/11/2012;93.15
26/11/2012;93.05
27/11/2012;93.8
28/11/2012;93.05
29/11/2012;92.95
30/11/2012;93
03/12/2012;93.9
04/12/2012;93.45
05/12/2012;92.75
06/12/2012;91.75
07/12/2012;91.45
10/12/2012;91.1
11/12/2012;90.15
12/12/2012;89.3
13/12/2012;90.05
14/12/2012;91.1
17/12/2012;91.6
18/12/2012;92.55
19/12/2012;92.7
20/12/2012;91.3
21/12/2012;90.85
24/12/2012;90.5
26/12/2012;90.5
27/12/2012;90
28/12/2012;90.05
31/12/2012;89.95
02/01/2013;90.5
03/01/2013;89.5
04/01/2013;89.3
07/01/2013;88.45
08/01/2013;87.65
09/01/2013;87.75
10/01/2013;87.65
11/01/2013;87.5
14/01/2013;86.7
15/01/2013;86.55
16/01/2013;87
17/01/2013;87.9
18/01/2013;87.2
21/01/2013;86.25
22/01/2013;86.7
23/01/2013;86.2
24/01/2013;86.9
25/01/2013;87.75
28/01/2013;87.75
29/01/2013;87.15
30/01/2013;86.9
31/01/2013;86.05
01/02/2013;88
04/02/2013;87.6
05/02/2013;88.1
06/02/2013;88.1
07/02/2013;88.75
08/02/2013;90.7
11/02/2013;90.1
12/02/2013;89.9
13/02/2013;88.75
14/02/2013;88.2
15/02/2013;88.05
18/02/2013;88.75
19/02/2013;89.7
20/02/2013;90.6
21/02/2013;90.15
22/02/2013;89.45
25/02/2013;89.35
26/02/2013;89.45
27/02/2013;89.25
28/02/2013;90.6
01/03/2013;88.3
04/03/2013;87.05
05/03/2013;86.55
06/03/2013;86.15
07/03/2013;86.7
08/03/2013;86.2
11/03/2013;86.2
12/03/2013;86.4
13/03/2013;85.3
14/03/2013;84.3
15/03/2013;84.45
18/03/2013;83.6
19/03/2013;82.25
20/03/2013;80.7
21/03/2013;80.65
22/03/2013;80.9
25/03/2013;81.2
26/03/2013;80.6
27/03/2013;79.75
01/04/2013;79.9
02/04/2013;80.05
03/04/2013;81.6
04/04/2013;82.25
05/04/2013;83.25
08/04/2013;83.65
09/04/2013;82.45
10/04/2013;83.05
11/04/2013;83.75
12/04/2013;84.8
15/04/2013;84.25
16/04/2013;84.25
17/04/2013;82.9
18/04/2013;82.65
19/04/2013;83.9
22/04/2013;84.4
23/04/2013;85.2
24/04/2013;84.85
25/04/2013;85.5
26/04/2013;85.3
29/04/2013;84.9
30/04/2013;83.95
01/05/2013;82.95
02/05/2013;83.3
03/05/2013;83.95
06/05/2013;83.95
07/05/2013;83.75
08/05/2013;83.85
13/05/2013;82.2
14/05/2013;82.5
15/05/2013;82.2
16/05/2013;81.65
17/05/2013;80.8
20/05/2013;81.45
21/05/2013;81.5
22/05/2013;81.5
23/05/2013;81.2
24/05/2013;81.1
27/05/2013;81.1
28/05/2013;81
29/05/2013;80.45
30/05/2013;80.15
31/05/2013;79.6
03/06/2013;79.75
04/06/2013;79.4
05/06/2013;79.7
06/06/2013;79.3
07/06/2013;79.4
10/06/2013;78.45
11/06/2013;77.75
12/06/2013;76.85
13/06/2013;75.8
14/06/2013;75.6
17/06/2013;75.3
18/06/2013;75.45
19/06/2013;75.9
20/06/2013;75.55
21/06/2013;74.9
24/06/2013;74.4
25/06/2013;75.2
26/06/2013;74.9
27/06/2013;74.45
28/06/2013;74.15
01/07/2013;75.8
02/07/2013;75.75
03/07/2013;76.55
04/07/2013;76.5
05/07/2013;77.45
08/07/2013;77.45
09/07/2013;77.15
10/07/2013;76.7
11/07/2013;76.85
12/07/2013;76.45
15/07/2013;76.95
16/07/2013;77.7
17/07/2013;78.15
18/07/2013;77.55
19/07/2013;76.85
22/07/2013;76.6
23/07/2013;77.15
